Index,SMILES,FP_1,FP_2,FP_3,FP_4,FP_5,FP_6,FP_7,FP_8,FP_9,FP_10,FP_11,FP_12,FP_13,FP_14,FP_15,FP_16,FP_17,FP_18,FP_19,FP_20,FP_21,FP_22,FP_23,FP_24,FP_25,FP_26,FP_27,FP_28,FP_29,FP_30,FP_31,FP_32,FP_33,FP_34,FP_35,FP_36,FP_37,FP_38,FP_39,FP_40,FP_41,FP_42
1577,CCNc1cccc(C)c1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,1,0,10,4,6,0,0,2.4998,42.0438,45.5207,135.20622,12.03
1578,COc1cc([N+](=O)[O-])ccc1N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,2,1,0,12,5,6,1,0,2.29,98.3775,46.1604,168.15002,81.07
1579,O=C(NC(Cc1ccccc1)C(O)C(=O)N1CC(O)C(O)C1)c1cc2cc(Cl)ccc2[nH]1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,32,7,7,5,0,35,17,16,2,0,1.4161,302.899,122.8233,457.90676,125.89
1580,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,4,4,0,0,46,44,0,2,0,6.0281,300.1169,175.461,572.8619,52.6
1581,c1ccc2c(c1)-c1cccc3cccc-2c13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,19,2,17,0,0,4.4872,121.8886,68.378,202.2506,0
1582,CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,27,6,6,0,0,31,22,6,3,0,1.9265,160.4199,101.484,369.41102,65.07
1583,CN1C2CCC1C(C(=O)O)C(OC(=O)c1ccccc1)C2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,21,5,5,1,0,23,15,6,2,0,1.7172,148.8993,80.5323,289.32636,66.84
1584,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,2,2,1,0,32,26,6,0,0,8.8402,90.4004,139.271,430.7061,29.46
1585,CCCCN(CCO)CCO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,2,0,10,10,0,0,0,0.0731,11.981,45.7896,161.24196,43.7
1586,NC(=O)CCCCC(N)=O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,2,0,9,7,0,2,0,0.918,124.7162,36.7708,144.17168,86.18
1587,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,4,0,0,29,14,12,3,0,5.3032,124.397,105.939,364.43426,52.6
1588,O=C(NCN1CCOCC1)c1cnccn1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,6,1,0,17,10,6,1,0,-0.1751,110.0094,60.0382,222.24376,67.35
1589,COc1ccc2c(c1)c1c3n2CCN(C)C3=NCC1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,3,4,0,0,22,11,10,1,0,1.2715,130.2683,83.639,255.31498,29.76
1590,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,22,0,0,0,0,26,26,0,0,0,6.223,230.1842,97.546,545.543,0
1591,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2)cc1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,6,5,2,0,24,8,12,4,0,4.104,194.6539,86.6904,335.33512,129.47
1592,O=C(Nc1ccccc1)Nc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,3,3,2,0,17,4,12,1,0,3.4766,130.7037,65.1634,212.24718,41.13
1593,Cc1ccc(C)c(C)c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,3,6,0,0,2.6118,16.8291,41.34,120.19158,0
1594,Nc1ccc2ccccc2c1S(=O)(=O)O,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,4,4,2,0,16,3,11,2,0,3.3307,184.3034,58.2112,223.24836,88.77
1595,CCN(CC)CCNc1ccc(CNC=O)c2sc3ccc(OC)cc3c(=O)c12,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,29,6,7,2,0,31,13,16,2,0,4.5228,221.3884,121.4934,413.53308,98.91
1596,CC(C)c1ccc2cc(C(C)C)ccc2c1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,17,6,11,0,0,5.0866,54.6716,73.108,212.33,0
1597,CCCCN1C(=O)C(C(O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,42,9,9,3,0,46,31,12,3,0,4.7846,297.9082,171.8128,577.71102,119.41
